"protein_class_pref_name","protein_class_short_name","go_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"AGC protein kinase AKT family","Akt","aging",0.5519162974121258,0,6
"AGC protein kinase AKT family","Akt","anatomical structure development",0.5519162974121258,0,13
"AGC protein kinase AKT family","Akt","biosynthetic process",0.5519162974121258,0,9
"AGC protein kinase AKT family","Akt","carbohydrate metabolic process",0.5519162974121258,0,3
"AGC protein kinase AKT family","Akt","catabolic process",0.5519162974121258,0,3
"AGC protein kinase AKT family","Akt","cell death",0.5519162974121258,0,16
"AGC protein kinase AKT family","Akt","cell differentiation",0.5519162974121258,0,27
"AGC protein kinase AKT family","Akt","cell proliferation",0.5519162974121258,0,9
"AGC protein kinase AKT family","Akt","cell-cell signaling",0.5519162974121258,0,10
"AGC protein kinase AKT family","Akt","cellular nitrogen compound metabolic process",0.5519162974121258,0,6
"AGC protein kinase AKT family","Akt","cellular protein modification process",0.5519162974121258,0,46
"AGC protein kinase AKT family","Akt","circulatory system process",0.5519162974121258,0,2
"AGC protein kinase AKT family","Akt","embryo development",0.5519162974121258,0,9
"AGC protein kinase AKT family","Akt","female pregnancy",0.5519162974121258,0,2
"AGC protein kinase AKT family","Akt","generation of precursor metabolites and energy",0.5519162974121258,0,2
"AGC protein kinase AKT family","Akt","homeostatic process",0.5519162974121258,0,7
"AGC protein kinase AKT family","Akt","immune system process",0.5519162974121258,0,21
"AGC protein kinase AKT family","Akt","metabolic process",0.5519162974121258,0,3
"AGC protein kinase AKT family","Akt","mitochondrion organization",0.5519162974121258,0,4
"AGC protein kinase AKT family","Akt","multicellular organismal development",0.5519162974121258,0,29
"AGC protein kinase AKT family","Akt","negative regulation of endopeptidase activity",0.5519162974121258,0,4
"AGC protein kinase AKT family","Akt","nucleocytoplasmic transport",0.5519162974121258,0,2
"AGC protein kinase AKT family","Akt","phosphorylation",0.5519162974121258,0,46
"AGC protein kinase AKT family","Akt","plasma membrane organization",0.5519162974121258,0,2
"AGC protein kinase AKT family","Akt","positive regulation of apoptotic process",0.5519162974121258,0,8
"AGC protein kinase AKT family","Akt","positive regulation of catalytic activity",0.5519162974121258,0,24
"AGC protein kinase AKT family","Akt","protein targeting",0.5519162974121258,0,2
"AGC protein kinase AKT family","Akt","regulation of catalytic activity",0.5519162974121258,0,5
"AGC protein kinase AKT family","Akt","regulation of protein localization",0.5519162974121258,0,7
"AGC protein kinase AKT family","Akt","reproduction",0.5519162974121258,0,10
"AGC protein kinase AKT family","Akt","response to stress",0.5519162974121258,0,24
"AGC protein kinase AKT family","Akt","signal transduction",0.5519162974121258,0,39
"AGC protein kinase AKT family","Akt","small molecule metabolic process",0.5519162974121258,0,2
"AGC protein kinase AKT family","Akt","translation",0.5519162974121258,0,1
"AGC protein kinase AKT family","Akt","transport",0.5519162974121258,0,5
"AGC protein kinase GEK subfamily","Gek","cell death",0.009748948843177152,0,16
"AGC protein kinase GEK subfamily","Gek","cellular protein modification process",0.009748948843177152,0,46
"AGC protein kinase GEK subfamily","Gek","homeostatic process",0.009748948843177152,0,7
"AGC protein kinase GEK subfamily","Gek","membrane organization",0.009748948843177152,0,3
"AGC protein kinase GEK subfamily","Gek","phosphorylation",0.009748948843177152,0,46
"AGC protein kinase GEK subfamily","Gek","regulation of catalytic activity",0.009748948843177152,0,5
"AGC protein kinase GEK subfamily","Gek","signal transduction",0.009748948843177152,0,39
"AGC protein kinase PKC alpha subfamily","Alpha","cell-cell signaling",0.0069186088564483,0,10
"AGC protein kinase PKC alpha subfamily","Alpha","cellular protein modification process",0.0069186088564483,0,46
"AGC protein kinase PKC alpha subfamily","Alpha","multicellular organismal development",0.0069186088564483,0,29
"AGC protein kinase PKC alpha subfamily","Alpha","neurological system process",0.0069186088564483,0,5
"AGC protein kinase PKC alpha subfamily","Alpha","phosphorylation",0.0069186088564483,0,46
"AGC protein kinase PKC alpha subfamily","Alpha","response to stress",0.0069186088564483,0,24
"AGC protein kinase PKC alpha subfamily","Alpha","signal transduction",0.0069186088564483,0,39
"CAMK protein kinase CAMK2 family","Camk2","cell cycle",0.022013755452335502,0,11
"CAMK protein kinase CAMK2 family","Camk2","cell death",0.022013755452335502,0,16
"CAMK protein kinase CAMK2 family","Camk2","cell differentiation",0.022013755452335502,0,27
"CAMK protein kinase CAMK2 family","Camk2","cell morphogenesis",0.022013755452335502,0,10
"CAMK protein kinase CAMK2 family","Camk2","cell-cell signaling",0.022013755452335502,0,10
"CAMK protein kinase CAMK2 family","Camk2","cellular protein modification process",0.022013755452335502,0,46
"CAMK protein kinase CAMK2 family","Camk2","immune system process",0.022013755452335502,0,21
"CAMK protein kinase CAMK2 family","Camk2","membrane organization",0.022013755452335502,0,3
"CAMK protein kinase CAMK2 family","Camk2","mitochondrion organization",0.022013755452335502,0,4
"CAMK protein kinase CAMK2 family","Camk2","multicellular organismal development",0.022013755452335502,0,29
"CAMK protein kinase CAMK2 family","Camk2","phosphorylation",0.022013755452335502,0,46
"CAMK protein kinase CAMK2 family","Camk2","positive regulation of apoptotic process",0.022013755452335502,0,8
"CAMK protein kinase CAMK2 family","Camk2","positive regulation of catalytic activity",0.022013755452335502,0,24
"CAMK protein kinase CAMK2 family","Camk2","protein complex assembly",0.022013755452335502,0,7
"CAMK protein kinase CAMK2 family","Camk2","response to stress",0.022013755452335502,0,24
"CAMK protein kinase CAMK2 family","Camk2","signal transduction",0.022013755452335502,0,39
"CAMK protein kinase CAMK2 family","Camk2","transport",0.022013755452335502,0,5
"CAMK protein kinase PHk family","Phk","biosynthetic process",0.009748948843177152,0,9
"CAMK protein kinase PHk family","Phk","carbohydrate metabolic process",0.009748948843177152,0,3
"CAMK protein kinase PHk family","Phk","catabolic process",0.009748948843177152,0,3
"CAMK protein kinase PHk family","Phk","cellular protein modification process",0.009748948843177152,0,46
"CAMK protein kinase PHk family","Phk","generation of precursor metabolites and energy",0.009748948843177152,0,2
"CAMK protein kinase PHk family","Phk","phosphorylation",0.009748948843177152,0,46
"CAMK protein kinase PKD family","Pkd","anatomical structure formation involved in morphogenesis",0.021070308790092553,0,12
"CAMK protein kinase PKD family","Pkd","biosynthetic process",0.021070308790092553,0,9
"CAMK protein kinase PKD family","Pkd","cell death",0.021070308790092553,0,16
"CAMK protein kinase PKD family","Pkd","cell differentiation",0.021070308790092553,0,27
"CAMK protein kinase PKD family","Pkd","cell proliferation",0.021070308790092553,0,9
"CAMK protein kinase PKD family","Pkd","cellular protein modification process",0.021070308790092553,0,46
"CAMK protein kinase PKD family","Pkd","immune system process",0.021070308790092553,0,21
"CAMK protein kinase PKD family","Pkd","lipid metabolic process",0.021070308790092553,0,3
"CAMK protein kinase PKD family","Pkd","multicellular organismal development",0.021070308790092553,0,29
"CAMK protein kinase PKD family","Pkd","phosphorylation",0.021070308790092553,0,46
"CAMK protein kinase PKD family","Pkd","positive regulation of catalytic activity",0.021070308790092553,0,24
"CAMK protein kinase PKD family","Pkd","response to stress",0.021070308790092553,0,24
"CAMK protein kinase PKD family","Pkd","signal transduction",0.021070308790092553,0,39
"CAMK protein kinase PKD family","Pkd","vesicle-mediated transport",0.021070308790092553,0,7
"CAMK protein kinase QIK subfamily","Qik","cell cycle",0.0113213599469154,0,11
