"Protein Class Name","Protein Class Short Name","Percentage of Measurements","Number of Measurements"
"Opioid receptor","Opioid receptor",1.6293799162325058,638
"Tyrosine protein kinase VEGFR family","Vegfr",1.338236796404127,524
"Tyrosine protein kinase Src family","Src",1.1339258351210544,444
"CC chemokine receptor","CC chemokine receptor",0.8734293594851363,342
"CMGC protein kinase p38 subfamily","p38",0.5822862396567575,228
"EDG receptor","EDG receptor",0.43416079272652974,170
"Cannabinoid receptor","Cannabinoid receptor",0.3932986004699152,154
"Atypical protein kinase PIKK family","Pikk",0.3881908264378384,152
"AGC protein kinase PKC alpha subfamily","Alpha",0.3677597303095311,144
"Histamine receptor","Histamine receptor",0.36520584329349265,143
"Tyrosine protein kinase PDGFR family","Pdgfr",0.25794258861987945,101
"AGC protein kinase PKC delta subfamily","Delta",0.25283481458780266,99
"Other protein kinase group","Other",0.2477270405557258,97
"Tyrosine protein kinase Tie family","Tie",0.23240371845949537,91
"Prostanoid receptor","Prostanoid receptor",0.2221881703953417,87
"AGC protein kinase PKC eta subfamily","Eta",0.20686484829911125,81
"CXC chemokine receptor","CXC chemokine receptor",0.16089488201041985,63
"Endothelin receptor","Endothelin receptor",0.15323322096230463,60
"CAMK protein kinase MSKb subfamily","Mskb",0.14301767289815098,56
"AGC protein kinase AKT family","Akt",0.10470936765757484,41
"PAF receptor","PAF",0.061293288384921846,24
"STE protein kinase STE7 family","Ste7",0.05873940136888344,23
"Tyrosine protein kinase Syk family","Syk",0.051077740320768214,20
"STE protein kinase STE11 family","Ste11",0.045969966288691384,18
"TKL protein kinase STKR Type 1 subfamily","Type1",0.045969966288691384,18
"Tyrosine protein kinase Trk family","Trk",0.04341607927265298,17
"Tyrosine protein kinase Abl family","Abl",0.03830830524057616,15
"Tyrosine protein kinase Eph family","Eph",0.03830830524057616,15
"Bradykinin receptor","Bradykinin receptor",0.035754418224537746,14
"CMGC protein kinase ERK subfamily","Erk",0.035754418224537746,14
"Leukotriene receptor","Leukotriene receptor",0.035754418224537746,14
"Anaphylatoxin receptor","Anaphylatoxin",0.028092757176422515,11
"CAMK protein kinase CAMK2 family","Camk2",0.028092757176422515,11
"TKL protein kinase RAF family","Raf",0.028092757176422515,11
"CAMK protein kinase DAPK family","Dapk",0.022984983144345692,9
"TKL protein kinase RIPK family","Ripk",0.022984983144345692,9
"Tyrosine protein kinase JakB family","Jakb",0.017877209112268873,7
"CMGC protein kinase group","Cmgc",0.015323322096230461,6
"Tyrosine protein kinase Csk family","Csk",0.015323322096230461,6
"CAMK protein kinase RSKb subfamily","Rskb",0.012769435080192054,5
"STE protein kinase MST subfamily","Mst",0.012769435080192054,5
"Tyrosine protein kinase FGFR family","Fgfr",0.012769435080192054,5
"Tyrosine protein kinase InsR family","InsR",0.012769435080192054,5
"Tyrosine protein kinase Tec family","Tec",0.012769435080192054,5
"Tyrosine protein kinase Fak family","Fak",0.010215548064153642,4
"STE protein kinase PAKA subfamily","Paka",0.007661661048115231,3
"TKL protein kinase STKR Type 2 subfamily","Type2",0.007661661048115231,3
"Tyrosine protein kinase Ack family","Ack",0.007661661048115231,3
"Tyrosine protein kinase Fer family","Fer",0.007661661048115231,3
"AGC protein kinase ROCK subfamily","Rock",0.005107774032076821,2
"TKL protein kinase LIMK subfamily","Limk",0.005107774032076821,2
"AGC protein kinase PDK1 subfamily","Pdk1",0.0025538870160384105,1
"Protein kinase regulatory subunit","Reg",0.0025538870160384105,1
