"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"DNA metabolic process","Serine/threonine-protein kinase TAO1",0.009748948843177152,0,1
"aging","Dual specificity mitogen-activated protein kinase kinase 1",0.11604393945588286,7,6
"aging","Interleukin-1 receptor-associated kinase 1",0.01478066437513955,0,6
"aging","Leucine-rich repeat serine/threonine-protein kinase 2",0.24340923885868113,0,6
"aging","Nerve growth factor receptor Trk-A",0.3349235650962473,1,6
"aging","Serine/threonine-protein kinase AKT",0.5097756798319407,0,6
"aging","TGF-beta receptor type II",0.022957202114578454,0,6
"anatomical structure development","Activin receptor type-1",0.020441344348597252,0,16
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 1",0.11604393945588286,7,16
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 2",0.019183415465606653,2,16
"anatomical structure development","Fibroblast growth factor receptor 1",0.19151967243531887,1,16
"anatomical structure development","Fibroblast growth factor receptor 2",0.08019296629065076,0,16
"anatomical structure development","Inhibitor of nuclear factor kappa B kinase alpha subunit",0.028617882088036152,0,16
"anatomical structure development","Insulin receptor",0.07358883965495011,1,16
"anatomical structure development","Nerve growth factor receptor Trk-A",0.3349235650962473,1,16
"anatomical structure development","Receptor-interacting serine/threonine-protein kinase 4",0.0056606799734577,0,16
"anatomical structure development","Serine/threonine-protein kinase AKT",0.5097756798319407,0,16
"anatomical structure development","Serine/threonine-protein kinase B-raf",0.5082032687282025,3,16
"anatomical structure development","Serine/threonine-protein kinase RAF",0.09874741731476211,0,16
"anatomical structure development","Stem cell growth factor receptor",0.17831141916391757,12,16
"anatomical structure development","TGF-beta receptor type I",0.17705349028092696,1,16
"anatomical structure development","TGF-beta receptor type II",0.022957202114578454,0,16
"anatomical structure development","Tyrosine-protein kinase BTK",0.2078727479141967,1,16
"anatomical structure formation involved in morphogenesis","Activin receptor type-1",0.020441344348597252,0,14
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 1",0.11604393945588286,7,14
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 2",0.019183415465606653,2,14
"anatomical structure formation involved in morphogenesis","Eukaryotic translation initiation factor 2-alpha kinase 3",0.01478066437513955,0,14
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",0.19151967243531887,1,14
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",0.08019296629065076,0,14
"anatomical structure formation involved in morphogenesis","Platelet-derived growth factor receptor beta",0.14120251711569484,2,14
"anatomical structure formation involved in morphogenesis","Protein kinase C mu",0.021070308790092553,0,14
"anatomical structure formation involved in morphogenesis","Serine/threonine-protein kinase Nek1",0.006289644414953001,0,14
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type I",0.17705349028092696,1,14
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type II",0.022957202114578454,0,14
"anatomical structure formation involved in morphogenesis","Tyrosine-protein kinase TIE-2",0.09560259510728561,3,14
"anatomical structure formation involved in morphogenesis","Tyrosine-protein kinase receptor RET",0.12170461942934056,6,14
"anatomical structure formation involved in morphogenesis","Vascular endothelial growth factor receptor 3",0.0553488708515864,0,14
"autophagy","Dual specificity mitogen-activated protein kinase kinase 1",0.11604393945588286,7,3
"autophagy","Leucine-rich repeat serine/threonine-protein kinase 2",0.24340923885868113,0,3
"autophagy","TRAF2- and NCK-interacting kinase",0.025473059880559652,0,3
"biosynthetic process","Bone morphogenetic protein receptor type-1B",0.011006877726167751,0,11
"biosynthetic process","Casein kinase II alpha",0.16636109477550687,1,11
"biosynthetic process","Cell division protein kinase 8",0.04874474421588575,0,11
"biosynthetic process","Fibroblast growth factor receptor 1",0.19151967243531887,1,11
"biosynthetic process","Fibroblast growth factor receptor 2",0.08019296629065076,0,11
"biosynthetic process","Fibroblast growth factor receptor 3",0.17265073919045987,1,11
"biosynthetic process","Phosphorylase kinase gamma subunit 2",0.009748948843177152,0,11
"biosynthetic process","Platelet-derived growth factor receptor beta",0.14120251711569484,2,11
"biosynthetic process","Protein kinase C mu",0.021070308790092553,0,11
"biosynthetic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,11
"biosynthetic process","Tyrosine-protein kinase BTK",0.2078727479141967,1,11
"carbohydrate metabolic process","Insulin receptor",0.07358883965495011,1,3
"carbohydrate metabolic process","Phosphorylase kinase gamma subunit 2",0.009748948843177152,0,3
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,3
"catabolic process","Dual specificity mitogen-activated protein kinase kinase 1",0.11604393945588286,7,3
"catabolic process","Phosphorylase kinase gamma subunit 2",0.009748948843177152,0,3
"catabolic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,3
"cell adhesion","Discoidin domain-containing receptor 2",0.038366830931213305,0,5
"cell adhesion","Serine/threonine-protein kinase B-raf",0.5082032687282025,3,5
"cell adhesion","Stem cell growth factor receptor",0.17831141916391757,12,5
"cell adhesion","Tyrosine-protein kinase TIE-2",0.09560259510728561,3,5
"cell adhesion","Tyrosine-protein kinase receptor RET",0.12170461942934056,6,5
"cell cycle","Activin receptor type-1",0.020441344348597252,0,12
"cell cycle","CaM kinase II alpha",0.00911998440168185,0,12
"cell cycle","CaM kinase II gamma",0.0069186088564483,0,12
"cell cycle","Casein kinase II alpha",0.16636109477550687,1,12
"cell cycle","Dual specificity mitogen-activated protein kinase kinase 1",0.11604393945588286,7,12
"cell cycle","Ribosomal protein S6 kinase alpha 3",0.07012953522672595,0,12
"cell cycle","Serine/threonine-protein kinase Nek1",0.006289644414953001,0,12
"cell cycle","Serine/threonine-protein kinase PLK4",0.050946119761119305,1,12
"cell cycle","Serine/threonine-protein kinase SIK1",0.0113213599469154,0,12
"cell cycle","Serine/threonine-protein kinase TAO1",0.009748948843177152,0,12
"cell cycle","Serine/threonine-protein kinase tousled-like 2",0.0047172333112147505,0,12
"cell cycle","TGF-beta receptor type I",0.17705349028092696,1,12
"cell death","CaM kinase II alpha",0.00911998440168185,0,17
"cell death","Casein kinase II alpha",0.16636109477550687,1,17
"cell death","Fibroblast growth factor receptor 2",0.08019296629065076,0,17
"cell death","Fibroblast growth factor receptor 3",0.17265073919045987,1,17
"cell death","Leucine-rich repeat serine/threonine-protein kinase 2",0.24340923885868113,0,17
"cell death","Mitogen-activated protein kinase kinase kinase 1",0.0037737866489718002,0,17
"cell death","Myotonin-protein kinase",0.009748948843177152,0,17
"cell death","Nerve growth factor receptor Trk-A",0.3349235650962473,1,17
"cell death","Protein kinase C mu",0.021070308790092553,0,17
"cell death","Ribosomal protein S6 kinase alpha 3",0.07012953522672595,0,17
"cell death","Serine/threonine-protein kinase AKT",0.5097756798319407,0,17
"cell death","Serine/threonine-protein kinase RAF",0.09874741731476211,0,17
"cell death","Serine/threonine-protein kinase TAO1",0.009748948843177152,0,17
"cell death","Stem cell growth factor receptor",0.17831141916391757,12,17
"cell death","TGF-beta receptor type I",0.17705349028092696,1,17
"cell death","TGF-beta receptor type II",0.022957202114578454,0,17
"cell death","Tyrosine-protein kinase BTK",0.2078727479141967,1,17
"cell differentiation","Activin receptor type-1",0.020441344348597252,0,35
"cell differentiation","Bone morphogenetic protein receptor type-1B",0.011006877726167751,0,35
"cell differentiation","CaM kinase II beta",0.005975162194205351,0,35
"cell differentiation","CaM kinase II gamma",0.0069186088564483,0,35
