"protein_class_pref_name","protein_class_short_name","diseaseName","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_class_Connectivity"
"AGC protein kinase AKT family","Akt","Ache",0.5097756798319407,0,4
"AGC protein kinase AKT family","Akt","Acute Promyelocytic Leukemia",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Adenocarcinoma of large intestine",0.5097756798319407,0,17
"AGC protein kinase AKT family","Akt","Adenocarcinoma of lung (disorder)",0.5097756798319407,0,15
"AGC protein kinase AKT family","Akt","Adenocarcinoma of prostate",0.5097756798319407,0,3
"AGC protein kinase AKT family","Akt","Adenomatous Polyposis Coli",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Amphetamine Abuse",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Amphetamine Addiction",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Amphetamine-Related Disorders",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Angioblastic Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Angiomatous Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Aortic valve calcification",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Aura",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Awakening Epilepsy",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Benign Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Bipolar Disorder",0.5097756798319407,0,9
"AGC protein kinase AKT family","Akt","Breast Cancer, Familial",0.5097756798319407,0,3
"AGC protein kinase AKT family","Akt","Breast Cancer, Familial Male",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Breast Carcinoma",0.5097756798319407,0,17
"AGC protein kinase AKT family","Akt","Breast adenocarcinoma",0.5097756798319407,0,5
"AGC protein kinase AKT family","Akt","COWDEN SYNDROME 6",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","COWDEN-LIKE SYNDROME (disorder)",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Cannabis Abuse",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Cannabis Dependence",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Cannabis-Related Disorder",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Cardiac Hypertrophy",0.5097756798319407,0,3
"AGC protein kinase AKT family","Akt","Cardiomegaly",0.5097756798319407,0,3
"AGC protein kinase AKT family","Akt","Cardiomyopathies",0.5097756798319407,0,6
"AGC protein kinase AKT family","Akt","Cardiomyopathies, Primary",0.5097756798319407,0,6
"AGC protein kinase AKT family","Akt","Cerebral Convexity Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Cirrhosis",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Clear Cell Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Colorectal Cancer",0.5097756798319407,0,13
"AGC protein kinase AKT family","Akt","Colorectal Carcinoma",0.5097756798319407,0,9
"AGC protein kinase AKT family","Akt","Colorectal Neoplasms",0.5097756798319407,0,9
"AGC protein kinase AKT family","Akt","Condition, Preneoplastic",0.5097756798319407,0,3
"AGC protein kinase AKT family","Akt","Cutaneous Melanoma",0.5097756798319407,0,7
"AGC protein kinase AKT family","Akt","Depressive disorder",0.5097756798319407,0,6
"AGC protein kinase AKT family","Akt","Endometrial adenocarcinoma",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Epilepsy",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Epilepsy, Cryptogenic",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Epileptic encephalopathy",0.5097756798319407,0,4
"AGC protein kinase AKT family","Akt","Familial Intestinal Polyposis",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Fibrosis",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Fibrous Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Hamartoma Syndrome, Multiple",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Hashish Abuse",0.5097756798319407,0,2
"AGC protein kinase AKT family","Akt","Hemangioblastic Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Hemangiopericytic Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Histiocytoma, Benign Fibrous",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Hyperplasia",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Inflammation",0.5097756798319407,0,7
"AGC protein kinase AKT family","Akt","Intellectual Disability",0.5097756798319407,0,22
"AGC protein kinase AKT family","Akt","Intracranial Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Intraorbital Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Intraventricular Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Lung Neoplasms",0.5097756798319407,0,9
"AGC protein kinase AKT family","Akt","Macrocephaly mesodermal hamartoma spectrum",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Malignant Meningioma",0.5097756798319407,0,1
"AGC protein kinase AKT family","Akt","Malignant Neoplasms",0.5097756798319407,0,11
"AGC protein kinase AKT family","Akt","Malignant neoplasm of breast",0.5097756798319407,0,20
"AGC protein kinase AKT family","Akt","Malignant neoplasm of lung",0.5097756798319407,0,9
"AGC protein kinase AKT family","Akt","Malignant neoplasm of ovary",0.5097756798319407,0,6
