"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"DNA metabolic process","Serine/threonine-protein kinase Chk2",0.015095146595887201,0,1
"aging","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,3
"aging","Serine/threonine-protein kinase AKT",0.01289377105065365,0,3
"aging","Serine/threonine-protein kinase Chk2",0.015095146595887201,0,3
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,7
"anatomical structure development","Ephrin type-A receptor 2",0.0015724111037382503,0,7
"anatomical structure development","Epidermal growth factor receptor erbB1",0.13082460383102243,3,7
"anatomical structure development","Fibroblast growth factor receptor 1",0.0283033998672885,0,7
"anatomical structure development","Serine/threonine-protein kinase AKT",0.01289377105065365,0,7
"anatomical structure development","Stem cell growth factor receptor",0.0226427198938308,4,7
"anatomical structure development","Vascular endothelial growth factor receptor 2",0.16321627256803037,0,7
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,4
"anatomical structure formation involved in morphogenesis","Ephrin type-A receptor 2",0.0015724111037382503,0,4
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",0.0283033998672885,0,4
"anatomical structure formation involved in morphogenesis","Vascular endothelial growth factor receptor 2",0.16321627256803037,0,4
"autophagy","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,1
"biosynthetic process","Fibroblast growth factor receptor 1",0.0283033998672885,0,5
"biosynthetic process","Receptor protein-tyrosine kinase erbB-2",0.059437139721305855,1,5
"biosynthetic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,5
"biosynthetic process","Serine/threonine-protein kinase AKT2",0.005975162194205351,0,5
"biosynthetic process","Serine/threonine-protein kinase Chk2",0.015095146595887201,0,5
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,2
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT2",0.005975162194205351,0,2
"catabolic process","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,4
"catabolic process","Serine/threonine-protein kinase AKT",0.01289377105065365,0,4
"catabolic process","Serine/threonine-protein kinase Aurora-A",0.0056606799734577,0,4
"catabolic process","Serine/threonine-protein kinase Chk2",0.015095146595887201,0,4
"cell adhesion","Cyclin-dependent kinase 6",0.0018868933244859001,1,5
"cell adhesion","Ephrin type-A receptor 2",0.0015724111037382503,0,5
"cell adhesion","Ephrin type-A receptor 3",0.0022013755452335504,0,5
"cell adhesion","Epidermal growth factor receptor erbB1",0.13082460383102243,3,5
"cell adhesion","Stem cell growth factor receptor",0.0226427198938308,4,5
"cell cycle","Cyclin-dependent kinase 4",0.012579288829906003,0,5
"cell cycle","Cyclin-dependent kinase 6",0.0018868933244859001,1,5
"cell cycle","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,5
"cell cycle","Serine/threonine-protein kinase Aurora-A",0.0056606799734577,0,5
"cell cycle","Serine/threonine-protein kinase Chk2",0.015095146595887201,0,5
"cell death","Ephrin type-A receptor 2",0.0015724111037382503,0,5
"cell death","Serine/threonine-protein kinase AKT",0.01289377105065365,0,5
"cell death","Serine/threonine-protein kinase AKT2",0.005975162194205351,0,5
"cell death","Serine/threonine-protein kinase Chk2",0.015095146595887201,0,5
"cell death","Stem cell growth factor receptor",0.0226427198938308,4,5
"cell differentiation","Cyclin-dependent kinase 6",0.0018868933244859001,1,13
"cell differentiation","Dual specificity mitogen-activated protein kinase kinase 1",0.0072330910771959515,0,13
"cell differentiation","Ephrin type-A receptor 2",0.0015724111037382503,0,13
"cell differentiation","Ephrin type-A receptor 3",0.0022013755452335504,0,13
"cell differentiation","Fibroblast growth factor receptor 1",0.0283033998672885,0,13
"cell differentiation","Hepatocyte growth factor receptor",6.289644414953E-4,0,13
"cell differentiation","Macrophage colony stimulating factor  receptor",0.0025158577659812,0,13
