"go_pref_name","target_pref_name","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"DNA metabolic process","Casein kinase I epsilon",0.020441344348597252,0,3
"DNA metabolic process","Serine-protein kinase ATM",0.016353075478877804,0,3
"DNA metabolic process","Serine/threonine-protein kinase Chk1",0.2748574609334461,3,3
"aging","Glycogen synthase kinase-3 beta",0.32454565181157485,2,7
"aging","MAP kinase p38 alpha",0.5780183217341808,11,7
"aging","Nerve growth factor receptor Trk-A",0.3349235650962473,1,7
"aging","Neurotrophic tyrosine kinase receptor type 2",0.02358616655607375,1,7
"aging","Serine-protein kinase ATM",0.016353075478877804,0,7
"aging","Serine/threonine-protein kinase AKT",0.5097756798319407,0,7
"aging","Serine/threonine-protein kinase Chk1",0.2748574609334461,3,7
"anatomical structure development","Epithelial discoidin domain-containing receptor 1",0.03899579537270861,0,12
"anatomical structure development","Fibroblast growth factor receptor 1",0.19151967243531887,1,12
"anatomical structure development","Fibroblast growth factor receptor 2",0.08019296629065076,0,12
"anatomical structure development","Glycogen synthase kinase-3 beta",0.32454565181157485,2,12
"anatomical structure development","MAP kinase ERK1",0.0295613287502791,1,12
"anatomical structure development","MAP kinase ERK2",0.3581952494315734,1,12
"anatomical structure development","MAP kinase p38 alpha",0.5780183217341808,11,12
"anatomical structure development","Nerve growth factor receptor Trk-A",0.3349235650962473,1,12
"anatomical structure development","Receptor protein-tyrosine kinase erbB-4",0.022957202114578454,1,12
"anatomical structure development","Serine-protein kinase ATM",0.016353075478877804,0,12
"anatomical structure development","Serine/threonine-protein kinase AKT",0.5097756798319407,0,12
"anatomical structure development","Vascular endothelial growth factor receptor 2",1.1138960258881765,5,12
"anatomical structure formation involved in morphogenesis","Cyclin-dependent kinase 5",0.02673098876355025,2,11
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",0.19151967243531887,1,11
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",0.08019296629065076,0,11
"anatomical structure formation involved in morphogenesis","Glycogen synthase kinase-3 beta",0.32454565181157485,2,11
"anatomical structure formation involved in morphogenesis","MAP kinase ERK1",0.0295613287502791,1,11
"anatomical structure formation involved in morphogenesis","MAP kinase ERK2",0.3581952494315734,1,11
"anatomical structure formation involved in morphogenesis","MAP kinase p38 alpha",0.5780183217341808,11,11
"anatomical structure formation involved in morphogenesis","Platelet-derived growth factor receptor beta",0.14120251711569484,2,11
"anatomical structure formation involved in morphogenesis","Protein kinase C alpha",0.06352540859102532,0,11
"anatomical structure formation involved in morphogenesis","Serine-protein kinase ATM",0.016353075478877804,0,11
"anatomical structure formation involved in morphogenesis","Vascular endothelial growth factor receptor 2",1.1138960258881765,5,11
"autophagy","MAP/microtubule affinity-regulating kinase 2",0.00849101996018655,0,2
"autophagy","TRAF2- and NCK-interacting kinase",0.025473059880559652,0,2
"biosynthetic process","Fibroblast growth factor receptor 1",0.19151967243531887,1,10
"biosynthetic process","Fibroblast growth factor receptor 2",0.08019296629065076,0,10
"biosynthetic process","MAP kinase ERK1",0.0295613287502791,1,10
"biosynthetic process","MAP kinase ERK2",0.3581952494315734,1,10
"biosynthetic process","MAP kinase p38 alpha",0.5780183217341808,11,10
"biosynthetic process","Platelet-derived growth factor receptor beta",0.14120251711569484,2,10
"biosynthetic process","Receptor protein-tyrosine kinase erbB-4",0.022957202114578454,1,10
"biosynthetic process","Serine-protein kinase ATM",0.016353075478877804,0,10
"biosynthetic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,10
"biosynthetic process","Serine/threonine-protein kinase Chk1",0.2748574609334461,3,10
"carbohydrate metabolic process","Glycogen synthase kinase-3 alpha",0.029875810971026755,1,4
"carbohydrate metabolic process","Glycogen synthase kinase-3 beta",0.32454565181157485,2,4
"carbohydrate metabolic process","MAP kinase p38 alpha",0.5780183217341808,11,4
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,4
"catabolic process","Cyclin-dependent kinase 5",0.02673098876355025,2,6
"catabolic process","Glycogen synthase kinase-3 alpha",0.029875810971026755,1,6
"catabolic process","Glycogen synthase kinase-3 beta",0.32454565181157485,2,6
"catabolic process","MAP/microtubule affinity-regulating kinase 2",0.00849101996018655,0,6
"catabolic process","Serine-protein kinase ATM",0.016353075478877804,0,6
"catabolic process","Serine/threonine-protein kinase AKT",0.5097756798319407,0,6
"cell adhesion","Cyclin-dependent kinase 5",0.02673098876355025,2,4
"cell adhesion","Epithelial discoidin domain-containing receptor 1",0.03899579537270861,0,4
"cell adhesion","Protein kinase C alpha",0.06352540859102532,0,4
"cell adhesion","Tyrosine-protein kinase FYN",0.036165455385979754,0,4
"cell cycle","Casein kinase I epsilon",0.020441344348597252,0,10
"cell cycle","Cyclin-dependent kinase 5",0.02673098876355025,2,10
"cell cycle","Glycogen synthase kinase-3 beta",0.32454565181157485,2,10
"cell cycle","MAP kinase ERK1",0.0295613287502791,1,10
"cell cycle","MAP kinase ERK2",0.3581952494315734,1,10
"cell cycle","MAP kinase p38 alpha",0.5780183217341808,11,10
"cell cycle","Protein kinase C alpha",0.06352540859102532,0,10
"cell cycle","Serine-protein kinase ATM",0.016353075478877804,0,10
"cell cycle","Serine/threonine-protein kinase Chk1",0.2748574609334461,3,10
"cell cycle","Serine/threonine-protein kinase PAK 2",0.012579288829906003,0,10
"cell death","Cyclin-dependent kinase 5",0.02673098876355025,2,15
"cell death","Dual specificity mitogen-activated protein kinase kinase 7",0.0025158577659812,0,15
"cell death","Fibroblast growth factor receptor 2",0.08019296629065076,0,15
