"target_pref_name","diseaseName","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_Connectivity"
"3-phosphoinositide dependent protein kinase-1","Breast Carcinoma",0.0025538870160384105,0,16
"3-phosphoinositide dependent protein kinase-1","Breast adenocarcinoma",0.0025538870160384105,0,3
"3-phosphoinositide dependent protein kinase-1","Congestive heart failure",0.0025538870160384105,0,2
"3-phosphoinositide dependent protein kinase-1","Diffuse Large B-Cell Lymphoma",0.0025538870160384105,0,2
"3-phosphoinositide dependent protein kinase-1","Heart Decompensation",0.0025538870160384105,0,2
"3-phosphoinositide dependent protein kinase-1","Heart Failure, Right-Sided",0.0025538870160384105,0,2
"3-phosphoinositide dependent protein kinase-1","Heart failure",0.0025538870160384105,0,2
"3-phosphoinositide dependent protein kinase-1","Left-Sided Heart Failure",0.0025538870160384105,0,2
"3-phosphoinositide dependent protein kinase-1","Malignant neoplasm of breast",0.0025538870160384105,0,19
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms",0.0025538870160384105,0,16
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms, Human",0.0025538870160384105,0,15
"3-phosphoinositide dependent protein kinase-1","Myocardial Failure",0.0025538870160384105,0,2
"3-phosphoinositide dependent protein kinase-1","Neoplasm of uncertain or unknown behavior of breast",0.0025538870160384105,0,3
"Bradykinin B2 receptor","Ache",0.035754418224537746,0,4
"Bradykinin B2 receptor","Active Hyperemia",0.035754418224537746,0,1
"Bradykinin B2 receptor","Acute Kidney Insufficiency",0.035754418224537746,0,2
"Bradykinin B2 receptor","Acute kidney injury",0.035754418224537746,0,2
"Bradykinin B2 receptor","Allodynia",0.035754418224537746,0,9
"Bradykinin B2 receptor","Bipolar Disorder",0.035754418224537746,0,9
"Bradykinin B2 receptor","Cardiomyopathies",0.035754418224537746,0,7
"Bradykinin B2 receptor","Cardiomyopathies, Primary",0.035754418224537746,0,7
"Bradykinin B2 receptor","Epilepsy, Benign Psychomotor, Childhood",0.035754418224537746,0,3
"Bradykinin B2 receptor","Epilepsy, Lateral Temporal",0.035754418224537746,0,3
"Bradykinin B2 receptor","Epilepsy, Temporal Lobe",0.035754418224537746,0,3
"Bradykinin B2 receptor","Extravasation of Contrast Media",0.035754418224537746,0,1
"Bradykinin B2 receptor","Extravasation of Diagnostic and Therapeutic Materials",0.035754418224537746,0,1
"Bradykinin B2 receptor","Hemorrhage",0.035754418224537746,0,1
"Bradykinin B2 receptor","Hyperalgesia",0.035754418224537746,0,9
"Bradykinin B2 receptor","Hyperalgesia, Primary",0.035754418224537746,0,9
"Bradykinin B2 receptor","Hyperalgesia, Secondary",0.035754418224537746,0,9
"Bradykinin B2 receptor","Hyperalgesia, Thermal",0.035754418224537746,0,9
"Bradykinin B2 receptor","Hyperemia",0.035754418224537746,0,1
"Bradykinin B2 receptor","Hypertensive disease",0.035754418224537746,0,4
"Bradykinin B2 receptor","Hypotension",0.035754418224537746,0,2
"Bradykinin B2 receptor","Inflammation",0.035754418224537746,0,6
