"protein_class_pref_name","protein_class_short_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"AGC protein kinase AKT family","Akt","Schizophrenia",390,0
"Atypical protein kinase PIKK family","Pikk","Schizophrenia",6,0
"CAMK protein kinase CAMK2 family","Camk2","Schizophrenia",7,0
"CC chemokine receptor","CC chemokine receptor","Schizophrenia",555,0
"CMGC protein kinase ERK subfamily","Erk","Schizophrenia",74,0
"CMGC protein kinase p38 subfamily","p38","Schizophrenia",736,5
"Cannabinoid receptor","Cannabinoid receptor","Schizophrenia",1202,1
"Histamine receptor","Histamine receptor","Schizophrenia",99,2
"Hydroxycarboxylic acid receptor","Hydroxycarboxylic acid receptor","Schizophrenia",171,0
"Opioid receptor","Opioid receptor","Schizophrenia",1087,4
"STE protein kinase PAKA subfamily","Paka","Schizophrenia",4,0
"Tyrosine protein kinase FGFR family","Fgfr","Schizophrenia",20,0
"Tyrosine protein kinase Src family","Src","Schizophrenia",39,0
"Tyrosine protein kinase Trk family","Trk","Schizophrenia",109,0
"Tyrosine protein kinase VEGFR family","Vegfr","Schizophrenia",1515,3
"AGC protein kinase AKT family","Akt","Malignant neoplasm of breast",390,0
"AGC protein kinase PDK1 subfamily","Pdk1","Malignant neoplasm of breast",58,0
"Atypical protein kinase PIKK family","Pikk","Malignant neoplasm of breast",6,0
"CAMK protein kinase RSKb subfamily","Rsk","Malignant neoplasm of breast",18,0
"CAMK protein kinase RSKb subfamily","Rskb","Malignant neoplasm of breast",18,0
"CXC chemokine receptor","CXC chemokine receptor","Malignant neoplasm of breast",56,1
"Cannabinoid receptor","Cannabinoid receptor","Malignant neoplasm of breast",1202,1
"Endothelin receptor","Endothelin receptor","Malignant neoplasm of breast",19,0
"Other protein kinase group","Other","Malignant neoplasm of breast",170,0
"STE protein kinase PAKA subfamily","Paka","Malignant neoplasm of breast",6,0
"TKL protein kinase RAF family","Raf","Malignant neoplasm of breast",132,1
"Tyrosine protein kinase Abl family","Abl","Malignant neoplasm of breast",165,3
"Tyrosine protein kinase FGFR family","Fgfr","Malignant neoplasm of breast",20,0
"Tyrosine protein kinase InsR family","InsR","Malignant neoplasm of breast",208,0
"Tyrosine protein kinase PDGFR family","Pdgfr","Malignant neoplasm of breast",120,2
