"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"DNA metabolic process","DNA-dependent protein kinase",2,0
"anatomical structure development","DNA-dependent protein kinase",2,0
"anatomical structure formation involved in morphogenesis","DNA-dependent protein kinase",2,0
"cell adhesion","DNA-dependent protein kinase",2,0
"cell cycle","DNA-dependent protein kinase",2,0
"cell death","DNA-dependent protein kinase",2,0
"cell differentiation","DNA-dependent protein kinase",2,0
"cell proliferation","DNA-dependent protein kinase",2,0
"cellular protein modification process","DNA-dependent protein kinase",2,0
"chromosome organization","DNA-dependent protein kinase",2,0
"embryo development","DNA-dependent protein kinase",2,0
"homeostatic process","DNA-dependent protein kinase",2,0
"immune system process","DNA-dependent protein kinase",2,0
"multicellular organismal development","DNA-dependent protein kinase",2,0
"phosphorylation","DNA-dependent protein kinase",2,0
"positive regulation of apoptotic process","DNA-dependent protein kinase",2,0
"reproduction","DNA-dependent protein kinase",2,0
"response to stress","DNA-dependent protein kinase",2,0
"signal transduction","DNA-dependent protein kinase",2,0
"anatomical structure development","Epidermal growth factor receptor erbB1",164,0
"cell adhesion","Epidermal growth factor receptor erbB1",164,0
"cell morphogenesis","Epidermal growth factor receptor erbB1",164,0
"cell motility","Epidermal growth factor receptor erbB1",164,0
"cell proliferation","Epidermal growth factor receptor erbB1",164,0
"cellular protein modification process","Epidermal growth factor receptor erbB1",164,0
"embryo development","Epidermal growth factor receptor erbB1",164,0
"lipid metabolic process","Epidermal growth factor receptor erbB1",164,0
"membrane organization","Epidermal growth factor receptor erbB1",164,0
"multicellular organismal development","Epidermal growth factor receptor erbB1",164,0
"neurological system process","Epidermal growth factor receptor erbB1",164,0
"phosphorylation","Epidermal growth factor receptor erbB1",164,0
"positive regulation of catalytic activity","Epidermal growth factor receptor erbB1",164,0
"regulation of catalytic activity","Epidermal growth factor receptor erbB1",164,0
"regulation of protein localization","Epidermal growth factor receptor erbB1",164,0
"reproduction","Epidermal growth factor receptor erbB1",164,0
"response to stress","Epidermal growth factor receptor erbB1",164,0
"signal transduction","Epidermal growth factor receptor erbB1",164,0
