"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"anatomical structure development","Activin receptor type-1",57,0
"anatomical structure formation involved in morphogenesis","Activin receptor type-1",57,0
"cell cycle","Activin receptor type-1",57,0
"cell differentiation","Activin receptor type-1",57,0
"cell motility","Activin receptor type-1",57,0
"cellular protein modification process","Activin receptor type-1",57,0
"embryo development","Activin receptor type-1",57,0
"multicellular organismal development","Activin receptor type-1",57,0
"phosphorylation","Activin receptor type-1",57,0
"reproduction","Activin receptor type-1",57,0
"response to stress","Activin receptor type-1",57,0
"signal transduction","Activin receptor type-1",57,0
"biosynthetic process","Bone morphogenetic protein receptor type-1B",35,0
"cell differentiation","Bone morphogenetic protein receptor type-1B",35,0
"cell morphogenesis","Bone morphogenetic protein receptor type-1B",35,0
"cellular protein modification process","Bone morphogenetic protein receptor type-1B",35,0
"growth","Bone morphogenetic protein receptor type-1B",35,0
"locomotion","Bone morphogenetic protein receptor type-1B",35,0
"multicellular organismal development","Bone morphogenetic protein receptor type-1B",35,0
"phosphorylation","Bone morphogenetic protein receptor type-1B",35,0
"positive regulation of apoptotic process","Bone morphogenetic protein receptor type-1B",35,0
"reproduction","Bone morphogenetic protein receptor type-1B",35,0
"response to stress","Bone morphogenetic protein receptor type-1B",35,0
"signal transduction","Bone morphogenetic protein receptor type-1B",35,0
"cell cycle","CaM kinase II alpha",23,0
"cell death","CaM kinase II alpha",23,0
"cellular protein modification process","CaM kinase II alpha",23,0
"immune system process","CaM kinase II alpha",23,0
"membrane organization","CaM kinase II alpha",23,0
"mitochondrion organization","CaM kinase II alpha",23,0
"phosphorylation","CaM kinase II alpha",23,0
"positive regulation of apoptotic process","CaM kinase II alpha",23,0
"positive regulation of catalytic activity","CaM kinase II alpha",23,0
"response to stress","CaM kinase II alpha",23,0
"signal transduction","CaM kinase II alpha",23,0
"transport","CaM kinase II alpha",23,0
"cell differentiation","CaM kinase II beta",15,0
"cell morphogenesis","CaM kinase II beta",15,0
"cellular protein modification process","CaM kinase II beta",15,0
"immune system process","CaM kinase II beta",15,0
"multicellular organismal development","CaM kinase II beta",15,0
"phosphorylation","CaM kinase II beta",15,0
"positive regulation of catalytic activity","CaM kinase II beta",15,0
"response to stress","CaM kinase II beta",15,0
"signal transduction","CaM kinase II beta",15,0
"cell cycle","CaM kinase II gamma",17,0
"cell differentiation","CaM kinase II gamma",17,0
"cell-cell signaling","CaM kinase II gamma",17,0
"cellular protein modification process","CaM kinase II gamma",17,0
"immune system process","CaM kinase II gamma",17,0
"multicellular organismal development","CaM kinase II gamma",17,0
"phosphorylation","CaM kinase II gamma",17,0
"positive regulation of catalytic activity","CaM kinase II gamma",17,0
"protein complex assembly","CaM kinase II gamma",17,0
"response to stress","CaM kinase II gamma",17,0
"signal transduction","CaM kinase II gamma",17,0
"transport","CaM kinase II gamma",17,0
"cell-cell signaling","Casein kinase I gamma 1",10,0
"cellular protein modification process","Casein kinase I gamma 1",10,0
"phosphorylation","Casein kinase I gamma 1",10,0
"signal transduction","Casein kinase I gamma 1",10,0
"vesicle-mediated transport","Casein kinase I gamma 1",10,0
"biosynthetic process","Casein kinase II alpha",485,1
"cell cycle","Casein kinase II alpha",485,1
"cell death","Casein kinase II alpha",485,1
"cellular nitrogen compound metabolic process","Casein kinase II alpha",485,1
"cellular protein modification process","Casein kinase II alpha",485,1
"negative regulation of endopeptidase activity","Casein kinase II alpha",485,1
"phosphorylation","Casein kinase II alpha",485,1
"protein folding","Casein kinase II alpha",485,1
"signal transduction","Casein kinase II alpha",485,1
"cellular protein modification process","Cell division cycle 2-like protein kinase 6",16,0
"phosphorylation","Cell division cycle 2-like protein kinase 6",16,0
"positive regulation of apoptotic process","Cell division cycle 2-like protein kinase 6",16,0
"biosynthetic process","Cell division protein kinase 8",147,0
"cellular nitrogen compound metabolic process","Cell division protein kinase 8",147,0
"cellular protein modification process","Cell division protein kinase 8",147,0
"phosphorylation","Cell division protein kinase 8",147,0
"cell differentiation","Cyclin-dependent kinase-like 5",12,0
"cell motility","Cyclin-dependent kinase-like 5",12,0
"cellular protein modification process","Cyclin-dependent kinase-like 5",12,0
"multicellular organismal development","Cyclin-dependent kinase-like 5",12,0
"phosphorylation","Cyclin-dependent kinase-like 5",12,0
"positive regulation of catalytic activity","Cyclin-dependent kinase-like 5",12,0
"cell adhesion","Discoidin domain-containing receptor 2",109,0
"cell proliferation","Discoidin domain-containing receptor 2",109,0
"cellular protein modification process","Discoidin domain-containing receptor 2",109,0
"extracellular matrix organization","Discoidin domain-containing receptor 2",109,0
"growth","Discoidin domain-containing receptor 2",109,0
"multicellular organismal development","Discoidin domain-containing receptor 2",109,0
"phosphorylation","Discoidin domain-containing receptor 2",109,0
"positive regulation of catalytic activity","Discoidin domain-containing receptor 2",109,0
"signal transduction","Discoidin domain-containing receptor 2",109,0
"aging","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"autophagy","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"catabolic process","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"cell cycle","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"cell differentiation","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"cell motility","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"cell proliferation","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"cellular protein modification process","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"embryo development","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"immune system process","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"locomotion","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"mitochondrion organization","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"multicellular organismal development","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"phosphorylation","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"positive regulation of catalytic activity","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"proteolysis","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"reproduction","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"response to stress","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"signal transduction","Dual specificity mitogen-activated protein kinase kinase 1",247,7
"anatomical structure development","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"anatomical structure formation involved in morphogenesis","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"cell differentiation","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"cell proliferation","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"cellular protein modification process","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"immune system process","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"multicellular organismal development","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"phosphorylation","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"positive regulation of catalytic activity","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"proteolysis","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"signal transduction","Dual specificity mitogen-activated protein kinase kinase 2",48,2
"cellular protein modification process","Dual-specificity tyrosine-phosphorylation regulated kinase 1A",351,0
"multicellular organismal development","Dual-specificity tyrosine-phosphorylation regulated kinase 1A",351,0
"phosphorylation","Dual-specificity tyrosine-phosphorylation regulated kinase 1A",351,0
"anatomical structure formation involved in morphogenesis","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"cell differentiation","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"cell-cell signaling","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"cellular protein modification process","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"multicellular organismal development","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"phosphorylation","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"positive regulation of apoptotic process","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"positive regulation of catalytic activity","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"protein complex assembly","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"regulation of protein localization","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"response to stress","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"signal transduction","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"transport","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"zymogen activation","Eukaryotic translation initiation factor 2-alpha kinase 3",47,0
"anatomical structure development","Fibroblast growth factor receptor 1",539,1
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",539,1
"biosynthetic process","Fibroblast growth factor receptor 1",539,1
"cell differentiation","Fibroblast growth factor receptor 1",539,1
"cell division","Fibroblast growth factor receptor 1",539,1
"cell motility","Fibroblast growth factor receptor 1",539,1
"cell proliferation","Fibroblast growth factor receptor 1",539,1
"cell-cell signaling","Fibroblast growth factor receptor 1",539,1
"cellular nitrogen compound metabolic process","Fibroblast growth factor receptor 1",539,1
"cellular protein modification process","Fibroblast growth factor receptor 1",539,1
"developmental maturation","Fibroblast growth factor receptor 1",539,1
"embryo development","Fibroblast growth factor receptor 1",539,1
"lipid metabolic process","Fibroblast growth factor receptor 1",539,1
"multicellular organismal development","Fibroblast growth factor receptor 1",539,1
"neurological system process","Fibroblast growth factor receptor 1",539,1
"phosphorylation","Fibroblast growth factor receptor 1",539,1
"positive regulation of catalytic activity","Fibroblast growth factor receptor 1",539,1
"signal transduction","Fibroblast growth factor receptor 1",539,1
"anatomical structure development","Fibroblast growth factor receptor 2",240,0
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",240,0
"biosynthetic process","Fibroblast growth factor receptor 2",240,0
"cell death","Fibroblast growth factor receptor 2",240,0
"cell differentiation","Fibroblast growth factor receptor 2",240,0
"cell division","Fibroblast growth factor receptor 2",240,0
"cell morphogenesis","Fibroblast growth factor receptor 2",240,0
"cell proliferation","Fibroblast growth factor receptor 2",240,0
"cell-cell signaling","Fibroblast growth factor receptor 2",240,0
"cellular protein modification process","Fibroblast growth factor receptor 2",240,0
"embryo development","Fibroblast growth factor receptor 2",240,0
"growth","Fibroblast growth factor receptor 2",240,0
"immune system process","Fibroblast growth factor receptor 2",240,0
"lipid metabolic process","Fibroblast growth factor receptor 2",240,0
"multicellular organismal development","Fibroblast growth factor receptor 2",240,0
"phosphorylation","Fibroblast growth factor receptor 2",240,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 2",240,0
"reproduction","Fibroblast growth factor receptor 2",240,0
"signal transduction","Fibroblast growth factor receptor 2",240,0
"biosynthetic process","Fibroblast growth factor receptor 3",537,1
"cell death","Fibroblast growth factor receptor 3",537,1
"cell differentiation","Fibroblast growth factor receptor 3",537,1
"cell proliferation","Fibroblast growth factor receptor 3",537,1
"cell-cell signaling","Fibroblast growth factor receptor 3",537,1
"cellular protein modification process","Fibroblast growth factor receptor 3",537,1
"developmental maturation","Fibroblast growth factor receptor 3",537,1
"growth","Fibroblast growth factor receptor 3",537,1
"lipid metabolic process","Fibroblast growth factor receptor 3",537,1
"multicellular organismal development","Fibroblast growth factor receptor 3",537,1
"phosphorylation","Fibroblast growth factor receptor 3",537,1
"positive regulation of catalytic activity","Fibroblast growth factor receptor 3",537,1
"signal transduction","Fibroblast growth factor receptor 3",537,1
"cell differentiation","Hepatocyte growth factor receptor",2414,14
"cell morphogenesis","Hepatocyte growth factor receptor",2414,14
"cell proliferation","Hepatocyte growth factor receptor",2414,14
"cellular protein modification process","Hepatocyte growth factor receptor",2414,14
"locomotion","Hepatocyte growth factor receptor",2414,14
"multicellular organismal development","Hepatocyte growth factor receptor",2414,14
"phosphorylation","Hepatocyte growth factor receptor",2414,14
"signal transduction","Hepatocyte growth factor receptor",2414,14
"anatomical structure development","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"cell differentiation","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"cellular protein modification process","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"immune system process","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"phosphorylation","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"response to stress","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"response to toxic substance","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"signal transduction","Inhibitor of nuclear factor kappa B kinase alpha subunit",42,0
"anatomical structure development","Insulin receptor",208,1
"carbohydrate metabolic process","Insulin receptor",208,1
"cell differentiation","Insulin receptor",208,1
"cellular protein modification process","Insulin receptor",208,1
"homeostatic process","Insulin receptor",208,1
"multicellular organismal development","Insulin receptor",208,1
"phosphorylation","Insulin receptor",208,1
"positive regulation of catalytic activity","Insulin receptor",208,1
"protein complex assembly","Insulin receptor",208,1
"reproduction","Insulin receptor",208,1
"signal transduction","Insulin receptor",208,1
"symbiosis, encompassing mutualism through parasitism","Insulin receptor",208,1
"cellular protein modification process","Insulin-like growth factor I receptor",1068,2
"immune system process","Insulin-like growth factor I receptor",1068,2
"phosphorylation","Insulin-like growth factor I receptor",1068,2
"protein complex assembly","Insulin-like growth factor I receptor",1068,2
"regulation of catalytic activity","Insulin-like growth factor I receptor",1068,2
"signal transduction","Insulin-like growth factor I receptor",1068,2
"aging","Interleukin-1 receptor-associated kinase 1",45,0
"cellular protein modification process","Interleukin-1 receptor-associated kinase 1",45,0
"immune system process","Interleukin-1 receptor-associated kinase 1",45,0
"phosphorylation","Interleukin-1 receptor-associated kinase 1",45,0
"positive regulation of catalytic activity","Interleukin-1 receptor-associated kinase 1",45,0
"protein complex assembly","Interleukin-1 receptor-associated kinase 1",45,0
"response to stress","Interleukin-1 receptor-associated kinase 1",45,0
"signal transduction","Interleukin-1 receptor-associated kinase 1",45,0
"cell differentiation","LIM domain kinase 1",230,0
"cellular protein modification process","LIM domain kinase 1",230,0
"cytoskeleton organization","LIM domain kinase 1",230,0
"immune system process","LIM domain kinase 1",230,0
"multicellular organismal development","LIM domain kinase 1",230,0
"phosphorylation","LIM domain kinase 1",230,0
"regulation of catalytic activity","LIM domain kinase 1",230,0
"signal transduction","LIM domain kinase 1",230,0
"vesicle-mediated transport","LIM domain kinase 1",230,0
"aging","Leucine-rich repeat serine/threonine-protein kinase 2",774,0
"autophagy","Leucine-rich repeat serine/threonine-protein kinase 2",774,0
"cell death","Leucine-rich repeat serine/threonine-protein kinase 2",774,0
"cell differentiation","Leucine-rich repeat serine/threonine-protein kinase 2",774,0
"cell morphogenesis","Leucine-rich repeat serine/threonine-protein kinase 2",774,0
