"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"biosynthetic process","3-phosphoinositide dependent protein kinase-1",58,0
"cell adhesion","3-phosphoinositide dependent protein kinase-1",58,0
"cell death","3-phosphoinositide dependent protein kinase-1",58,0
"cell differentiation","3-phosphoinositide dependent protein kinase-1",58,0
"cell junction organization","3-phosphoinositide dependent protein kinase-1",58,0
"cell motility","3-phosphoinositide dependent protein kinase-1",58,0
"cellular component assembly","3-phosphoinositide dependent protein kinase-1",58,0
"cellular nitrogen compound metabolic process","3-phosphoinositide dependent protein kinase-1",58,0
"cellular protein modification process","3-phosphoinositide dependent protein kinase-1",58,0
"cytoskeleton organization","3-phosphoinositide dependent protein kinase-1",58,0
"immune system process","3-phosphoinositide dependent protein kinase-1",58,0
"multicellular organismal development","3-phosphoinositide dependent protein kinase-1",58,0
"phosphorylation","3-phosphoinositide dependent protein kinase-1",58,0
"positive regulation of catalytic activity","3-phosphoinositide dependent protein kinase-1",58,0
"regulation of catalytic activity","3-phosphoinositide dependent protein kinase-1",58,0
"regulation of protein localization","3-phosphoinositide dependent protein kinase-1",58,0
"response to stress","3-phosphoinositide dependent protein kinase-1",58,0
"signal transduction","3-phosphoinositide dependent protein kinase-1",58,0
"autophagy","AMP-activated protein kinase, alpha-1 subunit",14,0
"biosynthetic process","AMP-activated protein kinase, alpha-1 subunit",14,0
"carbohydrate metabolic process","AMP-activated protein kinase, alpha-1 subunit",14,0
"cell cycle","AMP-activated protein kinase, alpha-1 subunit",14,0
"cellular nitrogen compound metabolic process","AMP-activated protein kinase, alpha-1 subunit",14,0
"cellular protein modification process","AMP-activated protein kinase, alpha-1 subunit",14,0
"chromosome organization","AMP-activated protein kinase, alpha-1 subunit",14,0
"homeostatic process","AMP-activated protein kinase, alpha-1 subunit",14,0
"lipid metabolic process","AMP-activated protein kinase, alpha-1 subunit",14,0
"phosphorylation","AMP-activated protein kinase, alpha-1 subunit",14,0
"positive regulation of catalytic activity","AMP-activated protein kinase, alpha-1 subunit",14,0
"protein complex assembly","AMP-activated protein kinase, alpha-1 subunit",14,0
"response to stress","AMP-activated protein kinase, alpha-1 subunit",14,0
"signal transduction","AMP-activated protein kinase, alpha-1 subunit",14,0
"small molecule metabolic process","AMP-activated protein kinase, alpha-1 subunit",14,0
"autophagy","AMP-activated protein kinase, alpha-2 subunit",7,0
"biosynthetic process","AMP-activated protein kinase, alpha-2 subunit",7,0
"cell cycle","AMP-activated protein kinase, alpha-2 subunit",7,0
"cellular nitrogen compound metabolic process","AMP-activated protein kinase, alpha-2 subunit",7,0
"cellular protein modification process","AMP-activated protein kinase, alpha-2 subunit",7,0
"cellular response to drug","AMP-activated protein kinase, alpha-2 subunit",7,0
"chromosome organization","AMP-activated protein kinase, alpha-2 subunit",7,0
"homeostatic process","AMP-activated protein kinase, alpha-2 subunit",7,0
"lipid metabolic process","AMP-activated protein kinase, alpha-2 subunit",7,0
"phosphorylation","AMP-activated protein kinase, alpha-2 subunit",7,0
"response to stress","AMP-activated protein kinase, alpha-2 subunit",7,0
"signal transduction","AMP-activated protein kinase, alpha-2 subunit",7,0
"small molecule metabolic process","AMP-activated protein kinase, alpha-2 subunit",7,0
"transmembrane transport","AMP-activated protein kinase, alpha-2 subunit",7,0
"anatomical structure development","Activin receptor type-1",8,0
"anatomical structure formation involved in morphogenesis","Activin receptor type-1",8,0
"cell cycle","Activin receptor type-1",8,0
"cell differentiation","Activin receptor type-1",8,0
"cell motility","Activin receptor type-1",8,0
"cellular protein modification process","Activin receptor type-1",8,0
"embryo development","Activin receptor type-1",8,0
"multicellular organismal development","Activin receptor type-1",8,0
"phosphorylation","Activin receptor type-1",8,0
"reproduction","Activin receptor type-1",8,0
"response to stress","Activin receptor type-1",8,0
"signal transduction","Activin receptor type-1",8,0
"anatomical structure formation involved in morphogenesis","Bone morphogenetic protein receptor type-2",6,0
"biosynthetic process","Bone morphogenetic protein receptor type-2",6,0
"cell death","Bone morphogenetic protein receptor type-2",6,0
"cell differentiation","Bone morphogenetic protein receptor type-2",6,0
"cell proliferation","Bone morphogenetic protein receptor type-2",6,0
"cellular nitrogen compound metabolic process","Bone morphogenetic protein receptor type-2",6,0
"cellular protein modification process","Bone morphogenetic protein receptor type-2",6,0
"circulatory system process","Bone morphogenetic protein receptor type-2",6,0
"embryo development","Bone morphogenetic protein receptor type-2",6,0
"female pregnancy","Bone morphogenetic protein receptor type-2",6,0
"multicellular organismal development","Bone morphogenetic protein receptor type-2",6,0
"phosphorylation","Bone morphogenetic protein receptor type-2",6,0
"response to stress","Bone morphogenetic protein receptor type-2",6,0
"signal transduction","Bone morphogenetic protein receptor type-2",6,0
"DNA metabolic process","Casein kinase I delta",23,0
"anatomical structure formation involved in morphogenesis","Casein kinase I delta",23,0
"cell adhesion","Casein kinase I delta",23,0
"cell cycle","Casein kinase I delta",23,0
"cell morphogenesis","Casein kinase I delta",23,0
"cellular component assembly","Casein kinase I delta",23,0
"cellular nitrogen compound metabolic process","Casein kinase I delta",23,0
"cellular protein modification process","Casein kinase I delta",23,0
"cytoskeleton organization","Casein kinase I delta",23,0
"membrane organization","Casein kinase I delta",23,0
"microtubule-based process","Casein kinase I delta",23,0
"phosphorylation","Casein kinase I delta",23,0
"protein complex assembly","Casein kinase I delta",23,0
"response to stress","Casein kinase I delta",23,0
"ribosome biogenesis","Casein kinase I delta",23,0
"signal transduction","Casein kinase I delta",23,0
"vesicle-mediated transport","Casein kinase I delta",23,0
"cell death","Dual specificity mitogen-activated protein kinase kinase 4",6,0
"cellular protein modification process","Dual specificity mitogen-activated protein kinase kinase 4",6,0
"phosphorylation","Dual specificity mitogen-activated protein kinase kinase 4",6,0
"proteolysis","Dual specificity mitogen-activated protein kinase kinase 4",6,0
"response to stress","Dual specificity mitogen-activated protein kinase kinase 4",6,0
"signal transduction","Dual specificity mitogen-activated protein kinase kinase 4",6,0
"cellular protein modification process","Dual specificity testis-specific protein kinase 1",7,0
"phosphorylation","Dual specificity testis-specific protein kinase 1",7,0
"reproduction","Dual specificity testis-specific protein kinase 1",7,0
"anatomical structure formation involved in morphogenesis","Ephrin type-B receptor 4",39,0
"cell adhesion","Ephrin type-B receptor 4",39,0
"cell motility","Ephrin type-B receptor 4",39,0
"cellular protein modification process","Ephrin type-B receptor 4",39,0
"multicellular organismal development","Ephrin type-B receptor 4",39,0
"phosphorylation","Ephrin type-B receptor 4",39,0
"signal transduction","Ephrin type-B receptor 4",39,0
"anatomical structure development","Epidermal growth factor receptor erbB1",781,3
"cell adhesion","Epidermal growth factor receptor erbB1",781,3
"cell morphogenesis","Epidermal growth factor receptor erbB1",781,3
"cell motility","Epidermal growth factor receptor erbB1",781,3
"cell proliferation","Epidermal growth factor receptor erbB1",781,3
"cellular protein modification process","Epidermal growth factor receptor erbB1",781,3
"embryo development","Epidermal growth factor receptor erbB1",781,3
"lipid metabolic process","Epidermal growth factor receptor erbB1",781,3
"membrane organization","Epidermal growth factor receptor erbB1",781,3
"multicellular organismal development","Epidermal growth factor receptor erbB1",781,3
