"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"3-phosphoinositide dependent protein kinase-1","Malignant neoplasm of breast",624,1,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Malignant neoplasm of breast",148,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Malignant neoplasm of breast",3615,2,"Cannabinoid receptor"
"Endothelin receptor ET-B","Malignant neoplasm of breast",11,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Malignant neoplasm of breast",240,0,"Tyrosine protein kinase FGFR family"
"G-protein coupled estrogen receptor 1","Malignant neoplasm of breast",4,0,"Steroid-like ligand receptor"
"Inhibitor of nuclear factor kappa B kinase beta subunit","Malignant neoplasm of breast",485,1,"Other protein kinase group"
"Insulin-like growth factor I receptor","Malignant neoplasm of breast",1068,2,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Malignant neoplasm of breast",445,3,"Tyrosine protein kinase PDGFR family"
"Mitogen-activated protein kinase kinase kinase 1","Malignant neoplasm of breast",12,0,"STE protein kinase STE11 family"
"Ribosomal protein S6 kinase alpha 3","Malignant neoplasm of breast",210,0,"CAMK protein kinase RSKb subfamily"
"Serine-protein kinase ATM","Malignant neoplasm of breast",46,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Malignant neoplasm of breast",1270,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase B-raf","Malignant neoplasm of breast",1484,3,"TKL protein kinase RAF family"
"Serine/threonine-protein kinase PAK 1","Malignant neoplasm of breast",199,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Malignant neoplasm of breast",294,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Malignant neoplasm of breast",437,12,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase ABL","Malignant neoplasm of breast",973,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase BTK","Malignant neoplasm of breast",647,1,"Tyrosine protein kinase Tec family"
"Tyrosine-protein kinase SRC","Malignant neoplasm of breast",458,2,"Tyrosine protein kinase Src family"
"Tyrosine-protein kinase TIE-2","Malignant neoplasm of breast",93,3,"Tyrosine protein kinase Tie family"
"Vascular endothelial growth factor receptor 1","Malignant neoplasm of breast",162,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Malignant neoplasm of breast",2535,4,"Tyrosine protein kinase VEGFR family"
"3-phosphoinositide dependent protein kinase-1","Breast Carcinoma",624,1,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Breast Carcinoma",148,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Breast Carcinoma",3615,2,"Cannabinoid receptor"
"Endothelin receptor ET-B","Breast Carcinoma",11,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Breast Carcinoma",240,0,"Tyrosine protein kinase FGFR family"
"G-protein coupled estrogen receptor 1","Breast Carcinoma",4,0,"Steroid-like ligand receptor"
"Insulin-like growth factor I receptor","Breast Carcinoma",1068,2,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Breast Carcinoma",445,3,"Tyrosine protein kinase PDGFR family"
"Mitogen-activated protein kinase kinase kinase 1","Breast Carcinoma",12,0,"STE protein kinase STE11 family"
"Serine-protein kinase ATM","Breast Carcinoma",46,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Breast Carcinoma",1270,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase B-raf","Breast Carcinoma",1484,3,"TKL protein kinase RAF family"
"Serine/threonine-protein kinase PAK 1","Breast Carcinoma",199,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Breast Carcinoma",294,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Breast Carcinoma",437,12,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase ABL","Breast Carcinoma",973,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase BTK","Breast Carcinoma",647,1,"Tyrosine protein kinase Tec family"
"Tyrosine-protein kinase SRC","Breast Carcinoma",458,2,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 1","Breast Carcinoma",162,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Breast Carcinoma",2535,4,"Tyrosine protein kinase VEGFR family"
"C-C chemokine receptor type 5","Schizophrenia",604,3,"CC chemokine receptor"
"C-C motif chemokine 2","Schizophrenia",26,0,"CC chemokine receptor"
"CaM kinase II beta","Schizophrenia",15,0,"CAMK protein kinase CAMK2 family"
"Cannabinoid CB2 receptor","Schizophrenia",3615,2,"Cannabinoid receptor"
"Fibroblast growth factor receptor 2","Schizophrenia",240,0,"Tyrosine protein kinase FGFR family"
"Histamine H1 receptor","Schizophrenia",651,2,"Histamine receptor"
