"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"cell differentiation","ALK tyrosine kinase receptor",761,3
"cell proliferation","ALK tyrosine kinase receptor",761,3
"cellular protein modification process","ALK tyrosine kinase receptor",761,3
"multicellular organismal development","ALK tyrosine kinase receptor",761,3
"phosphorylation","ALK tyrosine kinase receptor",761,3
"positive regulation of catalytic activity","ALK tyrosine kinase receptor",761,3
"signal transduction","ALK tyrosine kinase receptor",761,3
"cellular protein modification process","Ankyrin repeat and protein kinase domain-containing protein 1",20,0
"phosphorylation","Ankyrin repeat and protein kinase domain-containing protein 1",20,0
"cell differentiation","CaM kinase II beta",15,0
"cell morphogenesis","CaM kinase II beta",15,0
"cellular protein modification process","CaM kinase II beta",15,0
"immune system process","CaM kinase II beta",15,0
"multicellular organismal development","CaM kinase II beta",15,0
"phosphorylation","CaM kinase II beta",15,0
"positive regulation of catalytic activity","CaM kinase II beta",15,0
"response to stress","CaM kinase II beta",15,0
"signal transduction","CaM kinase II beta",15,0
"cellular protein modification process","CaM-kinase kinase beta",25,0
"phosphorylation","CaM-kinase kinase beta",25,0
"regulation of catalytic activity","CaM-kinase kinase beta",25,0
"signal transduction","CaM-kinase kinase beta",25,0
"DNA metabolic process","Casein kinase I epsilon",51,0
"cell cycle","Casein kinase I epsilon",51,0
"cell differentiation","Casein kinase I epsilon",51,0
"cellular nitrogen compound metabolic process","Casein kinase I epsilon",51,0
"cellular protein modification process","Casein kinase I epsilon",51,0
"multicellular organismal development","Casein kinase I epsilon",51,0
"phosphorylation","Casein kinase I epsilon",51,0
"regulation of protein localization","Casein kinase I epsilon",51,0
"response to stress","Casein kinase I epsilon",51,0
"ribosome biogenesis","Casein kinase I epsilon",51,0
"signal transduction","Casein kinase I epsilon",51,0
"vesicle-mediated transport","Casein kinase I epsilon",51,0
"anatomical structure formation involved in morphogenesis","Cyclin-dependent kinase 5",75,2
"catabolic process","Cyclin-dependent kinase 5",75,2
"cell adhesion","Cyclin-dependent kinase 5",75,2
"cell cycle","Cyclin-dependent kinase 5",75,2
"cell death","Cyclin-dependent kinase 5",75,2
"cell differentiation","Cyclin-dependent kinase 5",75,2
"cell division","Cyclin-dependent kinase 5",75,2
"cell morphogenesis","Cyclin-dependent kinase 5",75,2
"cell motility","Cyclin-dependent kinase 5",75,2
"cell proliferation","Cyclin-dependent kinase 5",75,2
"cell-cell signaling","Cyclin-dependent kinase 5",75,2
"cellular component assembly","Cyclin-dependent kinase 5",75,2
"cellular protein modification process","Cyclin-dependent kinase 5",75,2
"cytoskeleton organization","Cyclin-dependent kinase 5",75,2
"growth","Cyclin-dependent kinase 5",75,2
"locomotion","Cyclin-dependent kinase 5",75,2
"membrane organization","Cyclin-dependent kinase 5",75,2
"multicellular organismal development","Cyclin-dependent kinase 5",75,2
"neurological system process","Cyclin-dependent kinase 5",75,2
"nucleocytoplasmic transport","Cyclin-dependent kinase 5",75,2
"phosphorylation","Cyclin-dependent kinase 5",75,2
"positive regulation of apoptotic process","Cyclin-dependent kinase 5",75,2
"positive regulation of catalytic activity","Cyclin-dependent kinase 5",75,2
"regulation of protein localization","Cyclin-dependent kinase 5",75,2
"response to stress","Cyclin-dependent kinase 5",75,2
"signal transduction","Cyclin-dependent kinase 5",75,2
"transport","Cyclin-dependent kinase 5",75,2
"vesicle-mediated transport","Cyclin-dependent kinase 5",75,2
"cell death","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"cellular protein modification process","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"phosphorylation","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"positive regulation of apoptotic process","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"positive regulation of catalytic activity","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"proteolysis","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"response to stress","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"signal transduction","Dual specificity mitogen-activated protein kinase kinase 7",8,0
"anatomical structure development","Epithelial discoidin domain-containing receptor 1",100,0
"cell adhesion","Epithelial discoidin domain-containing receptor 1",100,0
"cell motility","Epithelial discoidin domain-containing receptor 1",100,0
"cellular protein modification process","Epithelial discoidin domain-containing receptor 1",100,0
"extracellular matrix organization","Epithelial discoidin domain-containing receptor 1",100,0
"female pregnancy","Epithelial discoidin domain-containing receptor 1",100,0
"multicellular organismal development","Epithelial discoidin domain-containing receptor 1",100,0
"phosphorylation","Epithelial discoidin domain-containing receptor 1",100,0
"response to stress","Epithelial discoidin domain-containing receptor 1",100,0
"signal transduction","Epithelial discoidin domain-containing receptor 1",100,0
"transport","Epithelial discoidin domain-containing receptor 1",100,0
"anatomical structure development","Fibroblast growth factor receptor 1",539,1
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 1",539,1
"biosynthetic process","Fibroblast growth factor receptor 1",539,1
"cell differentiation","Fibroblast growth factor receptor 1",539,1
"cell division","Fibroblast growth factor receptor 1",539,1
"cell motility","Fibroblast growth factor receptor 1",539,1
"cell proliferation","Fibroblast growth factor receptor 1",539,1
"cell-cell signaling","Fibroblast growth factor receptor 1",539,1
"cellular nitrogen compound metabolic process","Fibroblast growth factor receptor 1",539,1
"cellular protein modification process","Fibroblast growth factor receptor 1",539,1
"developmental maturation","Fibroblast growth factor receptor 1",539,1
"embryo development","Fibroblast growth factor receptor 1",539,1
"lipid metabolic process","Fibroblast growth factor receptor 1",539,1
"multicellular organismal development","Fibroblast growth factor receptor 1",539,1
"neurological system process","Fibroblast growth factor receptor 1",539,1
"phosphorylation","Fibroblast growth factor receptor 1",539,1
"positive regulation of catalytic activity","Fibroblast growth factor receptor 1",539,1
"signal transduction","Fibroblast growth factor receptor 1",539,1
"anatomical structure development","Fibroblast growth factor receptor 2",240,0
"anatomical structure formation involved in morphogenesis","Fibroblast growth factor receptor 2",240,0
"biosynthetic process","Fibroblast growth factor receptor 2",240,0
"cell death","Fibroblast growth factor receptor 2",240,0
"cell differentiation","Fibroblast growth factor receptor 2",240,0
"cell division","Fibroblast growth factor receptor 2",240,0
"cell morphogenesis","Fibroblast growth factor receptor 2",240,0
"cell proliferation","Fibroblast growth factor receptor 2",240,0
"cell-cell signaling","Fibroblast growth factor receptor 2",240,0
"cellular protein modification process","Fibroblast growth factor receptor 2",240,0
"embryo development","Fibroblast growth factor receptor 2",240,0
"growth","Fibroblast growth factor receptor 2",240,0
"immune system process","Fibroblast growth factor receptor 2",240,0
"lipid metabolic process","Fibroblast growth factor receptor 2",240,0
"multicellular organismal development","Fibroblast growth factor receptor 2",240,0
"phosphorylation","Fibroblast growth factor receptor 2",240,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 2",240,0
"reproduction","Fibroblast growth factor receptor 2",240,0
"signal transduction","Fibroblast growth factor receptor 2",240,0
"carbohydrate metabolic process","Glycogen synthase kinase-3 alpha",90,1
"catabolic process","Glycogen synthase kinase-3 alpha",90,1
"cell death","Glycogen synthase kinase-3 alpha",90,1
"cell-cell signaling","Glycogen synthase kinase-3 alpha",90,1
"cellular protein modification process","Glycogen synthase kinase-3 alpha",90,1
"circulatory system process","Glycogen synthase kinase-3 alpha",90,1
"generation of precursor metabolites and energy","Glycogen synthase kinase-3 alpha",90,1
"membrane organization","Glycogen synthase kinase-3 alpha",90,1
"mitochondrion organization","Glycogen synthase kinase-3 alpha",90,1
"multicellular organismal development","Glycogen synthase kinase-3 alpha",90,1
"phosphorylation","Glycogen synthase kinase-3 alpha",90,1
"positive regulation of apoptotic process","Glycogen synthase kinase-3 alpha",90,1
"positive regulation of catalytic activity","Glycogen synthase kinase-3 alpha",90,1
"proteolysis","Glycogen synthase kinase-3 alpha",90,1
"regulation of catalytic activity","Glycogen synthase kinase-3 alpha",90,1
"regulation of protein localization","Glycogen synthase kinase-3 alpha",90,1
"response to stress","Glycogen synthase kinase-3 alpha",90,1
"signal transduction","Glycogen synthase kinase-3 alpha",90,1
"transport","Glycogen synthase kinase-3 alpha",90,1
"aging","Glycogen synthase kinase-3 beta",928,2
"anatomical structure development","Glycogen synthase kinase-3 beta",928,2
"anatomical structure formation involved in morphogenesis","Glycogen synthase kinase-3 beta",928,2
"carbohydrate metabolic process","Glycogen synthase kinase-3 beta",928,2
"catabolic process","Glycogen synthase kinase-3 beta",928,2
"cell cycle","Glycogen synthase kinase-3 beta",928,2
"cell death","Glycogen synthase kinase-3 beta",928,2
"cell differentiation","Glycogen synthase kinase-3 beta",928,2
"cell morphogenesis","Glycogen synthase kinase-3 beta",928,2
"cell motility","Glycogen synthase kinase-3 beta",928,2
"cell-cell signaling","Glycogen synthase kinase-3 beta",928,2
"cellular nitrogen compound metabolic process","Glycogen synthase kinase-3 beta",928,2
