"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"cellular protein modification process","CaM-kinase kinase beta",15,0
"phosphorylation","CaM-kinase kinase beta",15,0
"regulation of catalytic activity","CaM-kinase kinase beta",15,0
"signal transduction","CaM-kinase kinase beta",15,0
"DNA metabolic process","DNA-dependent protein kinase",221,0
"anatomical structure development","DNA-dependent protein kinase",221,0
"anatomical structure formation involved in morphogenesis","DNA-dependent protein kinase",221,0
"cell adhesion","DNA-dependent protein kinase",221,0
"cell cycle","DNA-dependent protein kinase",221,0
"cell death","DNA-dependent protein kinase",221,0
"cell differentiation","DNA-dependent protein kinase",221,0
"cell proliferation","DNA-dependent protein kinase",221,0
"cellular protein modification process","DNA-dependent protein kinase",221,0
"chromosome organization","DNA-dependent protein kinase",221,0
"embryo development","DNA-dependent protein kinase",221,0
"homeostatic process","DNA-dependent protein kinase",221,0
"immune system process","DNA-dependent protein kinase",221,0
"multicellular organismal development","DNA-dependent protein kinase",221,0
"phosphorylation","DNA-dependent protein kinase",221,0
"positive regulation of apoptotic process","DNA-dependent protein kinase",221,0
"reproduction","DNA-dependent protein kinase",221,0
"response to stress","DNA-dependent protein kinase",221,0
"signal transduction","DNA-dependent protein kinase",221,0
"anatomical structure development","Ephrin type-B receptor 2",8,0
"anatomical structure formation involved in morphogenesis","Ephrin type-B receptor 2",8,0
"cell differentiation","Ephrin type-B receptor 2",8,0
"cell morphogenesis","Ephrin type-B receptor 2",8,0
"cellular protein modification process","Ephrin type-B receptor 2",8,0
"embryo development","Ephrin type-B receptor 2",8,0
"locomotion","Ephrin type-B receptor 2",8,0
"multicellular organismal development","Ephrin type-B receptor 2",8,0
"neurological system process","Ephrin type-B receptor 2",8,0
"phosphorylation","Ephrin type-B receptor 2",8,0
"signal transduction","Ephrin type-B receptor 2",8,0
"anatomical structure development","Epidermal growth factor receptor erbB1",781,3
"cell adhesion","Epidermal growth factor receptor erbB1",781,3
"cell morphogenesis","Epidermal growth factor receptor erbB1",781,3
"cell motility","Epidermal growth factor receptor erbB1",781,3
"cell proliferation","Epidermal growth factor receptor erbB1",781,3
"cellular protein modification process","Epidermal growth factor receptor erbB1",781,3
"embryo development","Epidermal growth factor receptor erbB1",781,3
"lipid metabolic process","Epidermal growth factor receptor erbB1",781,3
"membrane organization","Epidermal growth factor receptor erbB1",781,3
"multicellular organismal development","Epidermal growth factor receptor erbB1",781,3
"neurological system process","Epidermal growth factor receptor erbB1",781,3
"phosphorylation","Epidermal growth factor receptor erbB1",781,3
"positive regulation of catalytic activity","Epidermal growth factor receptor erbB1",781,3
"regulation of catalytic activity","Epidermal growth factor receptor erbB1",781,3
"regulation of protein localization","Epidermal growth factor receptor erbB1",781,3
"reproduction","Epidermal growth factor receptor erbB1",781,3
"response to stress","Epidermal growth factor receptor erbB1",781,3
"signal transduction","Epidermal growth factor receptor erbB1",781,3
"anatomical structure development","Epithelial discoidin domain-containing receptor 1",24,0
"cell adhesion","Epithelial discoidin domain-containing receptor 1",24,0
"cell motility","Epithelial discoidin domain-containing receptor 1",24,0
"cellular protein modification process","Epithelial discoidin domain-containing receptor 1",24,0
"extracellular matrix organization","Epithelial discoidin domain-containing receptor 1",24,0
"female pregnancy","Epithelial discoidin domain-containing receptor 1",24,0
"multicellular organismal development","Epithelial discoidin domain-containing receptor 1",24,0
"phosphorylation","Epithelial discoidin domain-containing receptor 1",24,0
"response to stress","Epithelial discoidin domain-containing receptor 1",24,0
"signal transduction","Epithelial discoidin domain-containing receptor 1",24,0
"transport","Epithelial discoidin domain-containing receptor 1",24,0
"biosynthetic process","Fibroblast growth factor receptor 4",7,0
"cell motility","Fibroblast growth factor receptor 4",7,0
"cellular protein modification process","Fibroblast growth factor receptor 4",7,0
"homeostatic process","Fibroblast growth factor receptor 4",7,0
"lipid metabolic process","Fibroblast growth factor receptor 4",7,0
"phosphorylation","Fibroblast growth factor receptor 4",7,0
"positive regulation of catalytic activity","Fibroblast growth factor receptor 4",7,0
"signal transduction","Fibroblast growth factor receptor 4",7,0
"aging","Glycogen synthase kinase-3 beta",246,1
"anatomical structure development","Glycogen synthase kinase-3 beta",246,1
"anatomical structure formation involved in morphogenesis","Glycogen synthase kinase-3 beta",246,1
"carbohydrate metabolic process","Glycogen synthase kinase-3 beta",246,1
"catabolic process","Glycogen synthase kinase-3 beta",246,1
"cell cycle","Glycogen synthase kinase-3 beta",246,1
"cell death","Glycogen synthase kinase-3 beta",246,1
"cell differentiation","Glycogen synthase kinase-3 beta",246,1
"cell morphogenesis","Glycogen synthase kinase-3 beta",246,1
"cell motility","Glycogen synthase kinase-3 beta",246,1
"cell-cell signaling","Glycogen synthase kinase-3 beta",246,1
"cellular nitrogen compound metabolic process","Glycogen synthase kinase-3 beta",246,1
"cellular protein modification process","Glycogen synthase kinase-3 beta",246,1
"generation of precursor metabolites and energy","Glycogen synthase kinase-3 beta",246,1
"membrane organization","Glycogen synthase kinase-3 beta",246,1
"mitochondrion organization","Glycogen synthase kinase-3 beta",246,1
"multicellular organismal development","Glycogen synthase kinase-3 beta",246,1
"nucleocytoplasmic transport","Glycogen synthase kinase-3 beta",246,1
"phosphorylation","Glycogen synthase kinase-3 beta",246,1
"positive regulation of apoptotic process","Glycogen synthase kinase-3 beta",246,1
"positive regulation of catalytic activity","Glycogen synthase kinase-3 beta",246,1
"protein complex assembly","Glycogen synthase kinase-3 beta",246,1
"proteolysis","Glycogen synthase kinase-3 beta",246,1
"regulation of catalytic activity","Glycogen synthase kinase-3 beta",246,1
"regulation of protein localization","Glycogen synthase kinase-3 beta",246,1
"response to stress","Glycogen synthase kinase-3 beta",246,1
"signal transduction","Glycogen synthase kinase-3 beta",246,1
"transport","Glycogen synthase kinase-3 beta",246,1
"cell differentiation","Hepatocyte growth factor receptor",100,2
"cell morphogenesis","Hepatocyte growth factor receptor",100,2
"cell proliferation","Hepatocyte growth factor receptor",100,2
"cellular protein modification process","Hepatocyte growth factor receptor",100,2
"locomotion","Hepatocyte growth factor receptor",100,2
"multicellular organismal development","Hepatocyte growth factor receptor",100,2
"phosphorylation","Hepatocyte growth factor receptor",100,2
"signal transduction","Hepatocyte growth factor receptor",100,2
"biosynthetic process","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"cellular nitrogen compound metabolic process","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"cellular protein modification process","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"immune system process","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"phosphorylation","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"positive regulation of apoptotic process","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"positive regulation of catalytic activity","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"regulation of catalytic activity","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"response to stress","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"response to toxic substance","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"signal transduction","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"symbiosis, encompassing mutualism through parasitism","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"translation","Interferon-induced, double-stranded RNA-activated protein kinase",12,0
"cell motility","Interleukin-1 receptor-associated kinase 4",34,0
"cellular protein modification process","Interleukin-1 receptor-associated kinase 4",34,0
"immune system process","Interleukin-1 receptor-associated kinase 4",34,0
"phosphorylation","Interleukin-1 receptor-associated kinase 4",34,0
"response to stress","Interleukin-1 receptor-associated kinase 4",34,0
"signal transduction","Interleukin-1 receptor-associated kinase 4",34,0
"anatomical structure development","MAP kinase ERK1",38,0
"anatomical structure formation involved in morphogenesis","MAP kinase ERK1",38,0
"biosynthetic process","MAP kinase ERK1",38,0
"cell cycle","MAP kinase ERK1",38,0
"cell death","MAP kinase ERK1",38,0
"cell differentiation","MAP kinase ERK1",38,0
"cell morphogenesis","MAP kinase ERK1",38,0
"cellular nitrogen compound metabolic process","MAP kinase ERK1",38,0
"cellular protein modification process","MAP kinase ERK1",38,0
"embryo development","MAP kinase ERK1",38,0
