"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"Adenosine A1 receptor","Schizophrenia",1986,6,"Adenosine receptor"
"Adenosine A2a receptor","Schizophrenia",2542,11,"Adenosine receptor"
"Alpha-1a adrenergic receptor","Schizophrenia",502,1,"Adrenergic receptor"
"Alpha-2a adrenergic receptor","Schizophrenia",201,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Schizophrenia",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Schizophrenia",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Schizophrenia",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Schizophrenia",1923,1,"Dopamine receptor"
"Glycogen synthase kinase-3 alpha","Schizophrenia",90,1,"CMGC protein kinase GSK family"
"Histamine H1 receptor","Schizophrenia",651,2,"Histamine receptor"
"Muscarinic acetylcholine receptor M1","Schizophrenia",632,3,"Acetylcholine receptor"
"Neurokinin 3 receptor","Schizophrenia",400,2,"Neurokinin receptor"
"Neuropeptide Y receptor type 1","Schizophrenia",153,0,"Neuropeptide Y receptor"
"Neurotensin receptor 1","Schizophrenia",90,1,"Neurotensin receptor"
"Oxytocin receptor","Schizophrenia",242,2,"Vasopressin and oxytocin receptor"
"Prostanoid EP3 receptor","Schizophrenia",434,0,"Prostanoid receptor"
"Serine/threonine-protein kinase AKT","Schizophrenia",1270,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Schizophrenia",1442,2,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Schizophrenia",1914,11,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Schizophrenia",944,0,"Serotonin receptor"
"Vasopressin V1a receptor","Schizophrenia",365,1,"Vasopressin and oxytocin receptor"
"Adenosine A2a receptor","Depressive disorder",2542,11,"Adenosine receptor"
"Alpha-2a adrenergic receptor","Depressive disorder",201,0,"Adrenergic receptor"
"Beta-1 adrenergic receptor","Depressive disorder",457,2,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Depressive disorder",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Depressive disorder",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Depressive disorder",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Depressive disorder",1923,1,"Dopamine receptor"
"Dopamine D5 receptor","Depressive disorder",82,0,"Dopamine receptor"
"Glycogen synthase kinase-3 alpha","Depressive disorder",90,1,"CMGC protein kinase GSK family"
"Neurokinin 1 receptor","Depressive disorder",422,6,"Neurokinin receptor"
"Neuropeptide Y receptor type 1","Depressive disorder",153,0,"Neuropeptide Y receptor"
"Oxytocin receptor","Depressive disorder",242,2,"Vasopressin and oxytocin receptor"
"Serine/threonine-protein kinase AKT","Depressive disorder",1270,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Depressive disorder",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Depressive disorder",167,1,"Serotonin receptor"
"Serotonin 1d (5-HT1d) receptor","Depressive disorder",175,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Depressive disorder",1914,11,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Depressive disorder",944,0,"Serotonin receptor"
"Adenosine A2a receptor","Unipolar Depression",2542,11,"Adenosine receptor"
"Alpha-1a adrenergic receptor","Unipolar Depression",502,1,"Adrenergic receptor"
"Bradykinin B2 receptor","Unipolar Depression",54,0,"Bradykinin receptor"
"Cannabinoid CB1 receptor","Unipolar Depression",2578,6,"Cannabinoid receptor"
"Dopamine D2 receptor","Unipolar Depression",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Unipolar Depression",1923,1,"Dopamine receptor"
"Dopamine D5 receptor","Unipolar Depression",82,0,"Dopamine receptor"
"Glycogen synthase kinase-3 alpha","Unipolar Depression",90,1,"CMGC protein kinase GSK family"
"Neuropeptide Y receptor type 1","Unipolar Depression",153,0,"Neuropeptide Y receptor"
"Oxytocin receptor","Unipolar Depression",242,2,"Vasopressin and oxytocin receptor"
"Serine/threonine-protein kinase Sgk1","Unipolar Depression",92,0,"AGC protein kinase SGK family"
"Serotonin 1a (5-HT1a) receptor","Unipolar Depression",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Unipolar Depression",167,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Unipolar Depression",1914,11,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Unipolar Depression",944,0,"Serotonin receptor"
"Adenosine A2a receptor","Mood Disorders",2542,11,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Mood Disorders",320,0,"Adrenergic receptor"
"Alpha-2a adrenergic receptor","Mood Disorders",201,0,"Adrenergic receptor"
"Alpha-2c adrenergic receptor","Mood Disorders",227,0,"Adrenergic receptor"
"Beta-1 adrenergic receptor","Mood Disorders",457,2,"Adrenergic receptor"
"Dopamine D2 receptor","Mood Disorders",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Mood Disorders",1923,1,"Dopamine receptor"
"Neurokinin 1 receptor","Mood Disorders",422,6,"Neurokinin receptor"
"Neurotensin receptor 1","Mood Disorders",90,1,"Neurotensin receptor"
"Serine/threonine-protein kinase AKT","Mood Disorders",1270,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Mood Disorders",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Mood Disorders",167,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Mood Disorders",1914,11,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Mood Disorders",944,0,"Serotonin receptor"
"Vasopressin V1b receptor","Mood Disorders",205,1,"Vasopressin and oxytocin receptor"
"Alpha-1a adrenergic receptor","Bipolar Disorder",502,1,"Adrenergic receptor"
"Alpha-2c adrenergic receptor","Bipolar Disorder",227,0,"Adrenergic receptor"
"Beta-2 adrenergic receptor","Bipolar Disorder",746,5,"Adrenergic receptor"
"Bradykinin B2 receptor","Bipolar Disorder",54,0,"Bradykinin receptor"
"Cannabinoid CB1 receptor","Bipolar Disorder",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Bipolar Disorder",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Bipolar Disorder",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Bipolar Disorder",1923,1,"Dopamine receptor"
"Dopamine D5 receptor","Bipolar Disorder",82,0,"Dopamine receptor"
