"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"Histamine H1 receptor","Colorectal Cancer",9,0,"Histamine receptor"
"Protein kinase C beta","Colorectal Cancer",76,1,"AGC protein kinase PKC alpha subfamily"
"Protein kinase C epsilon","Colorectal Cancer",60,0,"AGC protein kinase PKC eta subfamily"
"Serine/threonine-protein kinase AKT","Colorectal Cancer",2,0,"AGC protein kinase AKT family"
"Tyrosine-protein kinase SRC","Colorectal Cancer",37,0,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 2","Colorectal Cancer",11,0,"Tyrosine protein kinase VEGFR family"
"Protein kinase C beta","Colorectal Carcinoma",76,1,"AGC protein kinase PKC alpha subfamily"
"Protein kinase C epsilon","Colorectal Carcinoma",60,0,"AGC protein kinase PKC eta subfamily"
"Serine/threonine-protein kinase AKT","Colorectal Carcinoma",2,0,"AGC protein kinase AKT family"
"Tyrosine-protein kinase SRC","Colorectal Carcinoma",37,0,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 2","Colorectal Carcinoma",11,0,"Tyrosine protein kinase VEGFR family"
"Protein kinase C beta","Colorectal Neoplasms",76,1,"AGC protein kinase PKC alpha subfamily"
"Protein kinase C epsilon","Colorectal Neoplasms",60,0,"AGC protein kinase PKC eta subfamily"
"Serine/threonine-protein kinase AKT","Colorectal Neoplasms",2,0,"AGC protein kinase AKT family"
"Tyrosine-protein kinase SRC","Colorectal Neoplasms",37,0,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 2","Colorectal Neoplasms",11,0,"Tyrosine protein kinase VEGFR family"
"C5a anaphylatoxin chemotactic receptor","Liver Cirrhosis, Experimental",11,0,"Anaphylatoxin receptor"
"Platelet activating factor receptor","Liver Cirrhosis, Experimental",15,0,"PAF receptor"
"Protein kinase C beta","Liver Cirrhosis, Experimental",76,1,"AGC protein kinase PKC alpha subfamily"
"Protein kinase C delta","Liver Cirrhosis, Experimental",77,0,"AGC protein kinase PKC delta subfamily"
"Tyrosine-protein kinase FYN","Liver Cirrhosis, Experimental",3,0,"Tyrosine protein kinase Src family"
"Protein kinase C delta","Alloxan Diabetes",77,0,"AGC protein kinase PKC delta subfamily"
"Protein kinase C epsilon","Alloxan Diabetes",60,0,"AGC protein kinase PKC eta subfamily"
"Protein kinase C delta","Diabetes Mellitus, Experimental",77,0,"AGC protein kinase PKC delta subfamily"
"Protein kinase C epsilon","Diabetes Mellitus, Experimental",60,0,"AGC protein kinase PKC eta subfamily"
"Protein kinase C delta","Streptozotocin Diabetes",77,0,"AGC protein kinase PKC delta subfamily"
"Protein kinase C epsilon","Streptozotocin Diabetes",60,0,"AGC protein kinase PKC eta subfamily"
"C-X-C chemokine receptor type 4","Malignant neoplasm of breast",1,0,"CXC chemokine receptor"
"Endothelin receptor ET-B","Malignant neoplasm of breast",42,0,"Endothelin receptor"
"Insulin-like growth factor I receptor","Malignant neoplasm of breast",3,0,"Tyrosine protein kinase InsR family"
"Serine/threonine-protein kinase AKT","Malignant neoplasm of breast",2,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase RAF","Malignant neoplasm of breast",5,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Malignant neoplasm of breast",10,1,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase SRC","Malignant neoplasm of breast",37,0,"Tyrosine protein kinase Src family"
"Tyrosine-protein kinase TIE-2","Malignant neoplasm of breast",11,0,"Tyrosine protein kinase Tie family"
"Vascular endothelial growth factor receptor 1","Malignant neoplasm of breast",2,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Malignant neoplasm of breast",11,0,"Tyrosine protein kinase VEGFR family"
"Endothelin receptor ET-B","Diabetes Mellitus, Non-Insulin-Dependent",42,0,"Endothelin receptor"
"Protein kinase C beta","Diabetes Mellitus, Non-Insulin-Dependent",76,1,"AGC protein kinase PKC alpha subfamily"
"Kappa opioid receptor","Absence Seizures",23,0,"Opioid receptor"
"Mu opioid receptor","Absence Seizures",15,0,"Opioid receptor"
"Protein kinase C delta","Absence Seizures",77,0,"AGC protein kinase PKC delta subfamily"
